t_local_s,timestamp,power_W,util_pct,mem_used_MiB,mem_total_MiB
1.125,2025/09/20 01:51:29.964,13.86,0.00,3.00,24564.00
1.226,2025/09/20 01:51:30.065,13.86,0.00,3.00,24564.00
1.327,2025/09/20 01:51:30.166,13.86,0.00,3.00,24564.00
1.428,2025/09/20 01:51:30.266,13.86,0.00,3.00,24564.00
1.528,2025/09/20 01:51:30.367,13.86,0.00,3.00,24564.00
1.628,2025/09/20 01:51:30.467,13.86,0.00,3.00,24564.00
1.730,2025/09/20 01:51:30.568,13.86,0.00,3.00,24564.00
1.830,2025/09/20 01:51:30.668,13.86,0.00,3.00,24564.00
1.931,2025/09/20 01:51:30.769,13.86,0.00,3.00,24564.00
2.031,2025/09/20 01:51:30.870,13.86,0.00,3.00,24564.00
2.131,2025/09/20 01:51:30.970,13.97,0.00,3.00,24564.00
2.232,2025/09/20 01:51:31.071,13.97,0.00,3.00,24564.00
2.332,2025/09/20 01:51:31.171,13.97,0.00,3.00,24564.00
2.433,2025/09/20 01:51:31.272,13.97,0.00,3.00,24564.00
2.534,2025/09/20 01:51:31.372,13.97,0.00,3.00,24564.00
2.635,2025/09/20 01:51:31.473,13.97,0.00,3.00,24564.00
2.735,2025/09/20 01:51:31.573,13.97,0.00,3.00,24564.00
2.835,2025/09/20 01:51:31.674,13.97,0.00,3.00,24564.00
2.936,2025/09/20 01:51:31.774,13.97,0.00,3.00,24564.00
3.036,2025/09/20 01:51:31.875,13.97,0.00,3.00,24564.00
3.137,2025/09/20 01:51:31.975,13.92,0.00,3.00,24564.00
3.237,2025/09/20 01:51:32.076,13.92,0.00,3.00,24564.00
3.338,2025/09/20 01:51:32.176,13.92,0.00,3.00,24564.00
3.439,2025/09/20 01:51:32.277,13.92,0.00,3.00,24564.00
3.539,2025/09/20 01:51:32.378,13.92,0.00,3.00,24564.00
3.640,2025/09/20 01:51:32.478,13.92,0.00,3.00,24564.00
3.741,2025/09/20 01:51:32.579,13.92,0.00,3.00,24564.00
3.841,2025/09/20 01:51:32.679,13.92,0.00,3.00,24564.00
3.942,2025/09/20 01:51:32.780,13.92,0.00,3.00,24564.00
4.042,2025/09/20 01:51:32.880,13.92,0.00,3.00,24564.00
4.142,2025/09/20 01:51:32.981,13.88,0.00,3.00,24564.00
4.243,2025/09/20 01:51:33.082,13.88,0.00,3.00,24564.00
4.343,2025/09/20 01:51:33.182,13.88,0.00,3.00,24564.00
4.444,2025/09/20 01:51:33.283,13.88,0.00,3.00,24564.00
4.544,2025/09/20 01:51:33.383,13.88,0.00,3.00,24564.00
4.645,2025/09/20 01:51:33.484,13.88,0.00,3.00,24564.00
4.746,2025/09/20 01:51:33.584,13.88,0.00,3.00,24564.00
4.846,2025/09/20 01:51:33.685,13.88,0.00,3.00,24564.00
4.946,2025/09/20 01:51:33.785,13.88,0.00,3.00,24564.00
5.047,2025/09/20 01:51:33.886,13.88,0.00,3.00,24564.00
5.148,2025/09/20 01:51:33.986,13.89,0.00,3.00,24564.00
5.248,2025/09/20 01:51:34.087,13.89,0.00,3.00,24564.00
5.349,2025/09/20 01:51:34.187,13.89,0.00,3.00,24564.00
5.449,2025/09/20 01:51:34.288,13.89,0.00,3.00,24564.00
5.549,2025/09/20 01:51:34.388,13.89,0.00,3.00,24564.00
5.650,2025/09/20 01:51:34.489,13.89,0.00,3.00,24564.00
5.751,2025/09/20 01:51:34.589,13.89,0.00,3.00,24564.00
5.851,2025/09/20 01:51:34.690,13.89,0.00,3.00,24564.00
5.951,2025/09/20 01:51:34.790,13.89,0.00,3.00,24564.00
6.052,2025/09/20 01:51:34.891,13.89,0.00,3.00,24564.00
6.153,2025/09/20 01:51:34.991,13.70,0.00,3.00,24564.00
6.252,2025/09/20 01:51:35.092,13.70,0.00,3.00,24564.00
6.353,2025/09/20 01:51:35.192,13.70,0.00,3.00,24564.00
6.454,2025/09/20 01:51:35.293,13.70,0.00,3.00,24564.00
6.555,2025/09/20 01:51:35.393,13.70,0.00,3.00,24564.00
