t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.012,2025/09/23 19:22:48.252,76.8,0.0,21399.0,24564.0
0.112,2025/09/23 19:22:48.353,77.1,34.0,21403.0,24564.0
0.213,2025/09/23 19:22:48.454,97.8,34.0,21403.0,24564.0
0.313,2025/09/23 19:22:48.554,118.4,98.0,21403.0,24564.0
0.414,2025/09/23 19:22:48.655,139.1,98.0,21403.0,24564.0
0.515,2025/09/23 19:22:48.755,159.9,98.0,21403.0,24564.0
0.615,2025/09/23 19:22:48.856,180.8,98.0,21403.0,24564.0
0.716,2025/09/23 19:22:48.957,201.6,98.0,21403.0,24564.0
0.817,2025/09/23 19:22:49.057,209.2,98.0,21403.0,24564.0
0.917,2025/09/23 19:22:49.158,215.6,98.0,21403.0,24564.0
1.018,2025/09/23 19:22:49.259,221.1,98.0,21403.0,24564.0
1.119,2025/09/23 19:22:49.360,291.9,98.0,21403.0,24564.0
1.219,2025/09/23 19:22:49.460,292.2,98.0,21403.0,24564.0
1.320,2025/09/23 19:22:49.561,292.4,98.0,21403.0,24564.0
1.421,2025/09/23 19:22:49.662,292.6,98.0,21403.0,24564.0
1.521,2025/09/23 19:22:49.762,292.6,98.0,21403.0,24564.0
1.622,2025/09/23 19:22:49.863,292.5,98.0,21403.0,24564.0
1.723,2025/09/23 19:22:49.964,292.3,98.0,21403.0,24564.0
1.824,2025/09/23 19:22:50.065,292.3,98.0,21403.0,24564.0
1.925,2025/09/23 19:22:50.166,292.3,98.0,21403.0,24564.0
2.027,2025/09/23 19:22:50.267,292.2,98.0,21403.0,24564.0
2.127,2025/09/23 19:22:50.368,292.0,98.0,21403.0,24564.0
2.228,2025/09/23 19:22:50.469,291.9,98.0,21403.0,24564.0
2.328,2025/09/23 19:22:50.569,290.9,95.0,21403.0,24564.0
2.429,2025/09/23 19:22:50.670,291.0,95.0,21403.0,24564.0
2.530,2025/09/23 19:22:50.770,291.0,98.0,21403.0,24564.0
2.630,2025/09/23 19:22:50.871,291.2,98.0,21403.0,24564.0
2.731,2025/09/23 19:22:50.972,291.4,98.0,21403.0,24564.0
2.832,2025/09/23 19:22:51.072,291.5,98.0,21403.0,24564.0
2.932,2025/09/23 19:22:51.173,291.6,98.0,21403.0,24564.0
