t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.010,2025/09/23 18:55:02.375,62.2,0.0,21399.0,24564.0
0.111,2025/09/23 18:55:02.476,69.2,26.0,21403.0,24564.0
0.212,2025/09/23 18:55:02.577,81.8,26.0,21403.0,24564.0
0.313,2025/09/23 18:55:02.678,93.0,98.0,21403.0,24564.0
0.413,2025/09/23 18:55:02.779,103.8,98.0,21403.0,24564.0
0.514,2025/09/23 18:55:02.880,113.8,98.0,21403.0,24564.0
0.615,2025/09/23 18:55:02.980,122.8,98.0,21403.0,24564.0
0.715,2025/09/23 18:55:03.081,193.5,98.0,21403.0,24564.0
0.816,2025/09/23 18:55:03.181,202.0,98.0,21403.0,24564.0
0.916,2025/09/23 18:55:03.282,209.1,98.0,21403.0,24564.0
1.017,2025/09/23 18:55:03.383,215.2,98.0,21403.0,24564.0
1.118,2025/09/23 18:55:03.483,288.1,98.0,21403.0,24564.0
1.218,2025/09/23 18:55:03.584,289.4,98.0,21403.0,24564.0
1.319,2025/09/23 18:55:03.685,291.6,98.0,21403.0,24564.0
1.420,2025/09/23 18:55:03.785,293.7,98.0,21403.0,24564.0
1.520,2025/09/23 18:55:03.886,294.5,98.0,21403.0,24564.0
1.621,2025/09/23 18:55:03.987,294.8,98.0,21403.0,24564.0
1.721,2025/09/23 18:55:04.087,295.0,98.0,21403.0,24564.0
1.822,2025/09/23 18:55:04.188,295.3,98.0,21403.0,24564.0
1.923,2025/09/23 18:55:04.288,295.5,98.0,21403.0,24564.0
2.023,2025/09/23 18:55:04.389,295.8,98.0,21403.0,24564.0
2.124,2025/09/23 18:55:04.490,296.0,98.0,21403.0,24564.0
2.225,2025/09/23 18:55:04.591,296.2,98.0,21403.0,24564.0
2.325,2025/09/23 18:55:04.691,295.6,95.0,21403.0,24564.0
2.426,2025/09/23 18:55:04.792,296.0,95.0,21403.0,24564.0
2.527,2025/09/23 18:55:04.892,296.3,98.0,21403.0,24564.0
2.627,2025/09/23 18:55:04.993,296.4,98.0,21403.0,24564.0
2.728,2025/09/23 18:55:05.094,296.5,98.0,21403.0,24564.0
2.829,2025/09/23 18:55:05.195,296.6,98.0,21403.0,24564.0
2.930,2025/09/23 18:55:05.296,296.6,98.0,21403.0,24564.0
3.031,2025/09/23 18:55:05.397,296.6,98.0,21403.0,24564.0
3.132,2025/09/23 18:55:05.498,296.6,98.0,21403.0,24564.0
3.233,2025/09/23 18:55:05.599,296.6,98.0,21403.0,24564.0
3.333,2025/09/23 18:55:05.699,296.8,98.0,21403.0,24564.0
3.434,2025/09/23 18:55:05.800,297.7,98.0,21403.0,24564.0
3.535,2025/09/23 18:55:05.900,297.6,98.0,21403.0,24564.0
3.635,2025/09/23 18:55:06.001,297.4,98.0,21403.0,24564.0
3.736,2025/09/23 18:55:06.101,297.2,98.0,21403.0,24564.0
3.836,2025/09/23 18:55:06.202,297.0,98.0,21403.0,24564.0
3.937,2025/09/23 18:55:06.303,296.7,98.0,21403.0,24564.0
4.038,2025/09/23 18:55:06.403,296.4,98.0,21403.0,24564.0
4.138,2025/09/23 18:55:06.504,296.2,98.0,21403.0,24564.0
4.238,2025/09/23 18:55:06.604,296.1,98.0,21403.0,24564.0
4.339,2025/09/23 18:55:06.705,296.0,98.0,21403.0,24564.0
4.440,2025/09/23 18:55:06.805,295.7,98.0,21403.0,24564.0
4.540,2025/09/23 18:55:06.906,296.3,95.0,21403.0,24564.0
4.641,2025/09/23 18:55:07.006,296.3,95.0,21403.0,24564.0
4.741,2025/09/23 18:55:07.107,296.3,98.0,21403.0,24564.0
4.842,2025/09/23 18:55:07.207,296.5,98.0,21403.0,24564.0
4.942,2025/09/23 18:55:07.308,296.6,98.0,21403.0,24564.0
5.043,2025/09/23 18:55:07.409,296.9,98.0,21403.0,24564.0
5.143,2025/09/23 18:55:07.509,297.1,98.0,21403.0,24564.0
5.244,2025/09/23 18:55:07.610,297.4,98.0,21403.0,24564.0
5.345,2025/09/23 18:55:07.710,297.5,98.0,21403.0,24564.0
5.445,2025/09/23 18:55:07.811,297.7,98.0,21403.0,24564.0
5.546,2025/09/23 18:55:07.912,297.9,98.0,21403.0,24564.0
5.646,2025/09/23 18:55:08.012,297.4,98.0,21403.0,24564.0
5.748,2025/09/23 18:55:08.113,297.2,98.0,21403.0,24564.0
5.849,2025/09/23 18:55:08.214,297.1,98.0,21403.0,24564.0
5.950,2025/09/23 18:55:08.315,297.1,98.0,21403.0,24564.0
6.050,2025/09/23 18:55:08.416,297.0,98.0,21403.0,24564.0
6.151,2025/09/23 18:55:08.517,297.0,98.0,21403.0,24564.0
6.252,2025/09/23 18:55:08.618,296.9,98.0,21403.0,24564.0
6.352,2025/09/23 18:55:08.718,296.9,98.0,21403.0,24564.0
6.453,2025/09/23 18:55:08.819,296.8,98.0,21403.0,24564.0
6.554,2025/09/23 18:55:08.920,296.5,98.0,21403.0,24564.0
6.654,2025/09/23 18:55:09.020,296.3,98.0,21403.0,24564.0
6.755,2025/09/23 18:55:09.121,295.5,95.0,21403.0,24564.0
6.856,2025/09/23 18:55:09.221,295.7,95.0,21403.0,24564.0
6.956,2025/09/23 18:55:09.322,295.9,98.0,21403.0,24564.0
7.057,2025/09/23 18:55:09.422,296.1,98.0,21403.0,24564.0
