t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.013,2025/09/23 18:46:52.791,62.6,0.0,21399.0,24564.0
0.113,2025/09/23 18:46:52.893,81.0,0.0,21403.0,24564.0
0.214,2025/09/23 18:46:52.994,102.0,93.0,21403.0,24564.0
0.314,2025/09/23 18:46:53.094,122.7,93.0,21403.0,24564.0
0.415,2025/09/23 18:46:53.195,143.7,98.0,21403.0,24564.0
0.515,2025/09/23 18:46:53.295,164.6,98.0,21403.0,24564.0
0.616,2025/09/23 18:46:53.396,185.6,98.0,21403.0,24564.0
0.716,2025/09/23 18:46:53.496,194.6,98.0,21403.0,24564.0
0.817,2025/09/23 18:46:53.597,202.3,98.0,21403.0,24564.0
0.917,2025/09/23 18:46:53.697,208.9,98.0,21403.0,24564.0
1.018,2025/09/23 18:46:53.798,214.6,98.0,21403.0,24564.0
1.118,2025/09/23 18:46:53.898,293.1,98.0,21403.0,24564.0
1.219,2025/09/23 18:46:53.999,293.6,98.0,21403.0,24564.0
1.319,2025/09/23 18:46:54.099,293.7,98.0,21403.0,24564.0
1.420,2025/09/23 18:46:54.200,294.1,98.0,21403.0,24564.0
1.520,2025/09/23 18:46:54.300,294.0,98.0,21403.0,24564.0
1.621,2025/09/23 18:46:54.401,294.0,98.0,21403.0,24564.0
1.721,2025/09/23 18:46:54.501,294.0,98.0,21403.0,24564.0
1.822,2025/09/23 18:46:54.602,294.0,98.0,21403.0,24564.0
1.922,2025/09/23 18:46:54.702,294.0,98.0,21403.0,24564.0
2.023,2025/09/23 18:46:54.803,294.0,98.0,21403.0,24564.0
2.123,2025/09/23 18:46:54.903,293.9,98.0,21403.0,24564.0
2.224,2025/09/23 18:46:55.004,293.9,98.0,21403.0,24564.0
2.325,2025/09/23 18:46:55.104,293.4,98.0,21403.0,24564.0
2.426,2025/09/23 18:46:55.205,293.4,96.0,21403.0,24564.0
2.527,2025/09/23 18:46:55.306,293.4,96.0,21403.0,24564.0
2.627,2025/09/23 18:46:55.407,293.6,98.0,21403.0,24564.0
2.728,2025/09/23 18:46:55.508,293.7,98.0,21403.0,24564.0
2.829,2025/09/23 18:46:55.609,293.8,98.0,21403.0,24564.0
2.929,2025/09/23 18:46:55.709,293.9,98.0,21403.0,24564.0
3.030,2025/09/23 18:46:55.810,294.0,98.0,21403.0,24564.0
3.130,2025/09/23 18:46:55.910,294.1,98.0,21403.0,24564.0
3.231,2025/09/23 18:46:56.011,294.2,98.0,21403.0,24564.0
3.331,2025/09/23 18:46:56.111,294.4,98.0,21403.0,24564.0
3.432,2025/09/23 18:46:56.212,295.0,98.0,21403.0,24564.0
3.532,2025/09/23 18:46:56.312,295.0,98.0,21403.0,24564.0
3.633,2025/09/23 18:46:56.413,294.8,98.0,21403.0,24564.0
3.733,2025/09/23 18:46:56.513,294.6,98.0,21403.0,24564.0
3.834,2025/09/23 18:46:56.614,294.5,98.0,21403.0,24564.0
3.934,2025/09/23 18:46:56.714,294.2,98.0,21403.0,24564.0
4.035,2025/09/23 18:46:56.814,294.0,97.0,21403.0,24564.0
4.135,2025/09/23 18:46:56.915,293.7,97.0,21403.0,24564.0
4.236,2025/09/23 18:46:57.015,293.6,98.0,21403.0,24564.0
4.336,2025/09/23 18:46:57.116,293.4,98.0,21403.0,24564.0
4.436,2025/09/23 18:46:57.216,293.2,98.0,21403.0,24564.0
4.537,2025/09/23 18:46:57.317,294.2,98.0,21403.0,24564.0
4.638,2025/09/23 18:46:57.417,294.2,96.0,21403.0,24564.0
4.738,2025/09/23 18:46:57.518,294.3,96.0,21403.0,24564.0
4.839,2025/09/23 18:46:57.619,294.5,98.0,21403.0,24564.0
4.939,2025/09/23 18:46:57.719,294.6,98.0,21403.0,24564.0
5.040,2025/09/23 18:46:57.820,295.0,98.0,21403.0,24564.0
5.140,2025/09/23 18:46:57.920,295.4,98.0,21403.0,24564.0
5.241,2025/09/23 18:46:58.021,296.0,98.0,21403.0,24564.0
5.341,2025/09/23 18:46:58.121,296.4,98.0,21403.0,24564.0
5.442,2025/09/23 18:46:58.222,296.9,98.0,21403.0,24564.0
5.542,2025/09/23 18:46:58.322,297.4,98.0,21403.0,24564.0
5.643,2025/09/23 18:46:58.423,296.6,98.0,21403.0,24564.0
5.744,2025/09/23 18:46:58.524,296.8,98.0,21403.0,24564.0
5.845,2025/09/23 18:46:58.625,296.9,98.0,21403.0,24564.0
5.946,2025/09/23 18:46:58.726,297.1,98.0,21403.0,24564.0
6.047,2025/09/23 18:46:58.826,297.2,98.0,21403.0,24564.0
6.148,2025/09/23 18:46:58.927,297.4,98.0,21403.0,24564.0
6.249,2025/09/23 18:46:59.029,296.8,98.0,21403.0,24564.0
6.349,2025/09/23 18:46:59.129,296.4,98.0,21403.0,24564.0
6.450,2025/09/23 18:46:59.230,296.1,98.0,21403.0,24564.0
6.550,2025/09/23 18:46:59.330,295.8,98.0,21403.0,24564.0
6.651,2025/09/23 18:46:59.431,295.4,98.0,21403.0,24564.0
6.751,2025/09/23 18:46:59.531,294.5,98.0,21403.0,24564.0
6.852,2025/09/23 18:46:59.632,294.3,96.0,21403.0,24564.0
6.953,2025/09/23 18:46:59.732,294.4,96.0,21403.0,24564.0
7.053,2025/09/23 18:46:59.833,294.3,98.0,21403.0,24564.0
7.154,2025/09/23 18:46:59.933,294.3,98.0,21403.0,24564.0
7.254,2025/09/23 18:47:00.034,294.3,98.0,21403.0,24564.0
7.355,2025/09/23 18:47:00.134,294.7,98.0,21403.0,24564.0
7.455,2025/09/23 18:47:00.235,294.9,98.0,21403.0,24564.0
7.556,2025/09/23 18:47:00.335,295.1,98.0,21403.0,24564.0
7.656,2025/09/23 18:47:00.436,295.3,98.0,21403.0,24564.0
7.756,2025/09/23 18:47:00.536,295.4,98.0,21403.0,24564.0
7.857,2025/09/23 18:47:00.637,296.2,98.0,21403.0,24564.0
7.958,2025/09/23 18:47:00.738,296.4,98.0,21403.0,24564.0
8.059,2025/09/23 18:47:00.838,296.6,98.0,21403.0,24564.0
8.159,2025/09/23 18:47:00.939,296.8,98.0,21403.0,24564.0
8.260,2025/09/23 18:47:01.039,296.5,98.0,21403.0,24564.0
8.360,2025/09/23 18:47:01.140,296.4,98.0,21403.0,24564.0
8.461,2025/09/23 18:47:01.240,296.3,98.0,21403.0,24564.0
8.561,2025/09/23 18:47:01.341,296.2,98.0,21403.0,24564.0
8.661,2025/09/23 18:47:01.441,295.9,98.0,21403.0,24564.0
8.762,2025/09/23 18:47:01.542,295.7,98.0,21403.0,24564.0
8.863,2025/09/23 18:47:01.643,295.5,98.0,21405.0,24564.0
8.964,2025/09/23 18:47:01.744,296.6,98.0,21405.0,24564.0
9.065,2025/09/23 18:47:01.845,296.2,96.0,21405.0,24564.0
9.166,2025/09/23 18:47:01.945,295.9,96.0,21405.0,24564.0
9.267,2025/09/23 18:47:02.047,295.6,98.0,21405.0,24564.0
9.368,2025/09/23 18:47:02.147,295.9,98.0,21405.0,24564.0
9.468,2025/09/23 18:47:02.248,296.1,98.0,21405.0,24564.0
9.569,2025/09/23 18:47:02.349,296.3,98.0,21405.0,24564.0
9.670,2025/09/23 18:47:02.450,296.6,98.0,21405.0,24564.0
9.770,2025/09/23 18:47:02.550,296.9,98.0,21405.0,24564.0
9.871,2025/09/23 18:47:02.651,297.2,98.0,21405.0,24564.0
9.971,2025/09/23 18:47:02.751,297.3,98.0,21405.0,24564.0
10.072,2025/09/23 18:47:02.852,296.2,98.0,21405.0,24564.0
10.173,2025/09/23 18:47:02.952,296.4,98.0,21405.0,24564.0
10.273,2025/09/23 18:47:03.053,296.6,98.0,21405.0,24564.0
10.374,2025/09/23 18:47:03.154,296.6,98.0,21405.0,24564.0
10.474,2025/09/23 18:47:03.254,296.8,98.0,21405.0,24564.0
10.575,2025/09/23 18:47:03.355,296.7,98.0,21405.0,24564.0
10.675,2025/09/23 18:47:03.455,296.8,98.0,21405.0,24564.0
10.776,2025/09/23 18:47:03.556,296.8,98.0,21405.0,24564.0
10.876,2025/09/23 18:47:03.656,296.8,98.0,21405.0,24564.0
10.977,2025/09/23 18:47:03.757,296.9,98.0,21405.0,24564.0
11.077,2025/09/23 18:47:03.857,297.1,98.0,21405.0,24564.0
11.178,2025/09/23 18:47:03.958,296.6,98.0,21405.0,24564.0
11.279,2025/09/23 18:47:04.058,296.9,96.0,21405.0,24564.0
11.379,2025/09/23 18:47:04.159,297.1,96.0,21405.0,24564.0
11.480,2025/09/23 18:47:04.260,297.3,98.0,21405.0,24564.0
11.580,2025/09/23 18:47:04.360,297.4,98.0,21405.0,24564.0
11.681,2025/09/23 18:47:04.461,297.6,98.0,21405.0,24564.0
11.782,2025/09/23 18:47:04.562,297.8,98.0,21405.0,24564.0
11.883,2025/09/23 18:47:04.663,297.8,98.0,21405.0,24564.0
11.984,2025/09/23 18:47:04.764,297.9,98.0,21405.0,24564.0
12.085,2025/09/23 18:47:04.865,297.9,98.0,21405.0,24564.0
12.186,2025/09/23 18:47:04.966,298.1,98.0,21405.0,24564.0
12.287,2025/09/23 18:47:05.066,298.9,98.0,21405.0,24564.0
12.387,2025/09/23 18:47:05.167,298.9,98.0,21405.0,24564.0
12.488,2025/09/23 18:47:05.268,298.8,98.0,21405.0,24564.0
12.588,2025/09/23 18:47:05.368,298.7,98.0,21405.0,24564.0
12.689,2025/09/23 18:47:05.469,298.5,98.0,21405.0,24564.0
12.789,2025/09/23 18:47:05.569,298.4,98.0,21405.0,24564.0
12.890,2025/09/23 18:47:05.670,298.3,98.0,21405.0,24564.0
12.991,2025/09/23 18:47:05.770,298.2,98.0,21405.0,24564.0
13.091,2025/09/23 18:47:05.871,298.1,98.0,21405.0,24564.0
13.192,2025/09/23 18:47:05.972,297.9,98.0,21405.0,24564.0
13.292,2025/09/23 18:47:06.072,297.6,98.0,21405.0,24564.0
13.393,2025/09/23 18:47:06.173,298.6,98.0,21405.0,24564.0
13.494,2025/09/23 18:47:06.273,298.5,96.0,21405.0,24564.0
13.594,2025/09/23 18:47:06.374,298.7,96.0,21405.0,24564.0
13.695,2025/09/23 18:47:06.475,298.9,98.0,21405.0,24564.0
13.795,2025/09/23 18:47:06.575,299.1,98.0,21405.0,24564.0
13.896,2025/09/23 18:47:06.676,299.4,98.0,21405.0,24564.0
13.996,2025/09/23 18:47:06.776,299.5,98.0,21405.0,24564.0
14.097,2025/09/23 18:47:06.877,299.6,98.0,21405.0,24564.0
14.197,2025/09/23 18:47:06.977,299.9,98.0,21405.0,24564.0
14.298,2025/09/23 18:47:07.078,300.3,98.0,21405.0,24564.0
14.398,2025/09/23 18:47:07.178,299.1,98.0,21405.0,24564.0
14.499,2025/09/23 18:47:07.279,299.1,98.0,21405.0,24564.0
14.600,2025/09/23 18:47:07.380,299.1,98.0,21405.0,24564.0
14.701,2025/09/23 18:47:07.480,299.0,98.0,21405.0,24564.0
14.806,2025/09/23 18:47:07.581,298.9,98.0,21405.0,24564.0
14.907,2025/09/23 18:47:07.687,298.8,98.0,21405.0,24564.0
15.007,2025/09/23 18:47:07.787,298.8,98.0,21405.0,24564.0
15.108,2025/09/23 18:47:07.888,298.8,98.0,21405.0,24564.0
15.208,2025/09/23 18:47:07.988,298.7,98.0,21405.0,24564.0
15.309,2025/09/23 18:47:08.089,298.6,98.0,21405.0,24564.0
15.409,2025/09/23 18:47:08.189,298.6,98.0,21405.0,24564.0
15.510,2025/09/23 18:47:08.290,298.2,98.0,21405.0,24564.0
15.610,2025/09/23 18:47:08.390,298.3,96.0,21405.0,24564.0
15.711,2025/09/23 18:47:08.491,298.4,96.0,21405.0,24564.0
15.811,2025/09/23 18:47:08.591,298.6,98.0,21405.0,24564.0
15.912,2025/09/23 18:47:08.692,298.7,98.0,21405.0,24564.0
16.013,2025/09/23 18:47:08.792,298.9,98.0,21405.0,24564.0
16.113,2025/09/23 18:47:08.893,298.4,98.0,21405.0,24564.0
