t_local_s,timestamp,power_W,util_pct,mem_used_MiB,mem_total_MiB
1.218,2025/09/20 01:56:38.102,13.77,0.00,3.00,24564.00
1.319,2025/09/20 01:56:38.203,13.77,0.00,3.00,24564.00
1.419,2025/09/20 01:56:38.303,13.77,0.00,3.00,24564.00
1.520,2025/09/20 01:56:38.404,13.77,0.00,3.00,24564.00
1.620,2025/09/20 01:56:38.505,13.77,0.00,3.00,24564.00
1.721,2025/09/20 01:56:38.605,13.77,0.00,3.00,24564.00
1.821,2025/09/20 01:56:38.706,13.77,0.00,3.00,24564.00
1.922,2025/09/20 01:56:38.806,13.77,0.00,3.00,24564.00
2.023,2025/09/20 01:56:38.907,13.77,0.00,3.00,24564.00
2.123,2025/09/20 01:56:39.007,13.77,0.00,3.00,24564.00
2.224,2025/09/20 01:56:39.108,13.75,0.00,3.00,24564.00
2.325,2025/09/20 01:56:39.209,13.75,0.00,3.00,24564.00
2.426,2025/09/20 01:56:39.310,13.75,0.00,3.00,24564.00
2.527,2025/09/20 01:56:39.410,13.75,0.00,3.00,24564.00
2.626,2025/09/20 01:56:39.511,13.75,0.00,3.00,24564.00
2.727,2025/09/20 01:56:39.611,13.75,0.00,3.00,24564.00
2.827,2025/09/20 01:56:39.712,13.75,0.00,3.00,24564.00
2.928,2025/09/20 01:56:39.813,13.75,0.00,3.00,24564.00
3.029,2025/09/20 01:56:39.913,13.75,0.00,3.00,24564.00
3.129,2025/09/20 01:56:40.014,13.75,0.00,3.00,24564.00
3.230,2025/09/20 01:56:40.115,13.62,0.00,3.00,24564.00
3.330,2025/09/20 01:56:40.215,13.62,0.00,3.00,24564.00
3.431,2025/09/20 01:56:40.316,13.62,0.00,3.00,24564.00
3.532,2025/09/20 01:56:40.416,13.62,0.00,3.00,24564.00
3.632,2025/09/20 01:56:40.517,13.62,0.00,3.00,24564.00
3.732,2025/09/20 01:56:40.618,13.62,0.00,3.00,24564.00
3.833,2025/09/20 01:56:40.718,13.62,0.00,3.00,24564.00
3.934,2025/09/20 01:56:40.819,13.62,0.00,3.00,24564.00
4.034,2025/09/20 01:56:40.919,13.62,0.00,3.00,24564.00
4.135,2025/09/20 01:56:41.020,13.56,0.00,3.00,24564.00
4.236,2025/09/20 01:56:41.120,13.56,0.00,3.00,24564.00
4.337,2025/09/20 01:56:41.221,13.56,0.00,3.00,24564.00
4.438,2025/09/20 01:56:41.321,13.56,0.00,3.00,24564.00
4.537,2025/09/20 01:56:41.422,13.56,0.00,3.00,24564.00
4.638,2025/09/20 01:56:41.523,13.56,0.00,3.00,24564.00
4.739,2025/09/20 01:56:41.623,13.56,0.00,3.00,24564.00
4.839,2025/09/20 01:56:41.724,13.56,0.00,3.00,24564.00
4.939,2025/09/20 01:56:41.824,13.56,0.00,3.00,24564.00
5.040,2025/09/20 01:56:41.925,13.56,0.00,3.00,24564.00
5.141,2025/09/20 01:56:42.025,13.70,0.00,3.00,24564.00
5.242,2025/09/20 01:56:42.126,13.70,0.00,3.00,24564.00
5.342,2025/09/20 01:56:42.226,13.70,0.00,3.00,24564.00
5.443,2025/09/20 01:56:42.327,13.70,0.00,3.00,24564.00
5.543,2025/09/20 01:56:42.428,13.70,0.00,3.00,24564.00
5.644,2025/09/20 01:56:42.528,13.70,0.00,3.00,24564.00
5.744,2025/09/20 01:56:42.629,13.70,0.00,3.00,24564.00
5.845,2025/09/20 01:56:42.729,13.70,0.00,3.00,24564.00
