t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.011,2025/09/23 20:21:39.269,73.1,0.0,21399.0,24564.0
0.112,2025/09/23 20:21:39.369,78.3,0.0,21403.0,24564.0
0.213,2025/09/23 20:21:39.470,99.0,85.0,21403.0,24564.0
0.314,2025/09/23 20:21:39.571,119.8,85.0,21403.0,24564.0
0.415,2025/09/23 20:21:39.672,140.6,98.0,21403.0,24564.0
0.516,2025/09/23 20:21:39.773,161.3,98.0,21403.0,24564.0
0.616,2025/09/23 20:21:39.874,182.1,98.0,21403.0,24564.0
0.717,2025/09/23 20:21:39.974,202.8,98.0,21403.0,24564.0
0.817,2025/09/23 20:21:40.075,223.7,98.0,21403.0,24564.0
0.918,2025/09/23 20:21:40.175,229.4,98.0,21403.0,24564.0
1.018,2025/09/23 20:21:40.276,234.2,98.0,21403.0,24564.0
1.119,2025/09/23 20:21:40.376,292.1,98.0,21403.0,24564.0
1.219,2025/09/23 20:21:40.477,292.2,98.0,21403.0,24564.0
1.320,2025/09/23 20:21:40.577,292.2,98.0,21403.0,24564.0
1.420,2025/09/23 20:21:40.678,292.3,98.0,21403.0,24564.0
1.521,2025/09/23 20:21:40.778,292.2,98.0,21403.0,24564.0
1.621,2025/09/23 20:21:40.879,292.1,98.0,21403.0,24564.0
1.722,2025/09/23 20:21:40.979,291.9,98.0,21403.0,24564.0
1.822,2025/09/23 20:21:41.079,291.8,98.0,21403.0,24564.0
1.923,2025/09/23 20:21:41.180,291.6,98.0,21403.0,24564.0
2.023,2025/09/23 20:21:41.280,291.5,98.0,21403.0,24564.0
2.123,2025/09/23 20:21:41.381,291.4,98.0,21403.0,24564.0
2.224,2025/09/23 20:21:41.481,291.2,98.0,21403.0,24564.0
2.324,2025/09/23 20:21:41.582,290.6,98.0,21403.0,24564.0
2.425,2025/09/23 20:21:41.682,290.7,96.0,21403.0,24564.0
2.525,2025/09/23 20:21:41.783,290.6,96.0,21403.0,24564.0
2.626,2025/09/23 20:21:41.883,290.8,98.0,21403.0,24564.0
2.726,2025/09/23 20:21:41.984,291.0,98.0,21403.0,24564.0
2.827,2025/09/23 20:21:42.084,291.3,98.0,21403.0,24564.0
2.927,2025/09/23 20:21:42.185,291.4,98.0,21403.0,24564.0
3.028,2025/09/23 20:21:42.285,291.5,98.0,21403.0,24564.0
3.128,2025/09/23 20:21:42.386,291.7,98.0,21403.0,24564.0
3.229,2025/09/23 20:21:42.486,291.9,98.0,21403.0,24564.0
3.329,2025/09/23 20:21:42.587,292.0,98.0,21403.0,24564.0
3.430,2025/09/23 20:21:42.687,292.9,98.0,21403.0,24564.0
3.531,2025/09/23 20:21:42.788,292.9,98.0,21403.0,24564.0
3.632,2025/09/23 20:21:42.889,292.7,98.0,21403.0,24564.0
3.732,2025/09/23 20:21:42.989,292.6,98.0,21403.0,24564.0
3.833,2025/09/23 20:21:43.090,292.5,98.0,21403.0,24564.0
3.934,2025/09/23 20:21:43.191,292.3,98.0,21403.0,24564.0
4.035,2025/09/23 20:21:43.292,292.3,98.0,21403.0,24564.0
4.135,2025/09/23 20:21:43.393,292.2,98.0,21403.0,24564.0
4.236,2025/09/23 20:21:43.493,292.1,98.0,21403.0,24564.0
4.336,2025/09/23 20:21:43.594,292.1,98.0,21403.0,24564.0
4.437,2025/09/23 20:21:43.694,292.0,98.0,21403.0,24564.0
4.537,2025/09/23 20:21:43.795,292.9,98.0,21403.0,24564.0
4.638,2025/09/23 20:21:43.895,292.9,96.0,21403.0,24564.0
4.738,2025/09/23 20:21:43.996,293.1,96.0,21403.0,24564.0
4.839,2025/09/23 20:21:44.096,293.4,98.0,21403.0,24564.0
4.939,2025/09/23 20:21:44.197,293.5,98.0,21403.0,24564.0
5.040,2025/09/23 20:21:44.297,293.6,98.0,21403.0,24564.0
5.140,2025/09/23 20:21:44.398,293.7,98.0,21403.0,24564.0
5.241,2025/09/23 20:21:44.498,293.9,98.0,21403.0,24564.0
5.341,2025/09/23 20:21:44.599,294.0,98.0,21403.0,24564.0
5.442,2025/09/23 20:21:44.699,294.2,98.0,21403.0,24564.0
5.542,2025/09/23 20:21:44.800,294.4,98.0,21403.0,24564.0
5.643,2025/09/23 20:21:44.900,293.4,98.0,21403.0,24564.0
5.743,2025/09/23 20:21:45.001,293.3,98.0,21403.0,24564.0
5.844,2025/09/23 20:21:45.101,293.2,98.0,21403.0,24564.0
5.944,2025/09/23 20:21:45.202,292.9,98.0,21403.0,24564.0
6.045,2025/09/23 20:21:45.302,292.9,98.0,21403.0,24564.0
6.145,2025/09/23 20:21:45.403,292.8,98.0,21403.0,24564.0
6.246,2025/09/23 20:21:45.503,292.6,98.0,21403.0,24564.0
6.346,2025/09/23 20:21:45.604,292.4,98.0,21403.0,24564.0
6.447,2025/09/23 20:21:45.704,292.2,98.0,21403.0,24564.0
6.547,2025/09/23 20:21:45.805,292.1,98.0,21403.0,24564.0
6.648,2025/09/23 20:21:45.905,291.9,98.0,21403.0,24564.0
6.748,2025/09/23 20:21:46.006,291.2,98.0,21403.0,24564.0
6.849,2025/09/23 20:21:46.106,291.4,95.0,21403.0,24564.0
6.950,2025/09/23 20:21:46.207,291.6,95.0,21403.0,24564.0
7.051,2025/09/23 20:21:46.308,291.8,98.0,21403.0,24564.0
7.151,2025/09/23 20:21:46.408,291.8,98.0,21403.0,24564.0
7.252,2025/09/23 20:21:46.509,292.0,98.0,21403.0,24564.0
7.354,2025/09/23 20:21:46.610,292.2,98.0,21403.0,24564.0
7.454,2025/09/23 20:21:46.711,292.3,98.0,21403.0,24564.0
7.554,2025/09/23 20:21:46.812,292.6,98.0,21403.0,24564.0
7.655,2025/09/23 20:21:46.912,292.8,98.0,21403.0,24564.0
7.755,2025/09/23 20:21:47.013,293.0,98.0,21403.0,24564.0
7.856,2025/09/23 20:21:47.113,293.8,98.0,21403.0,24564.0
7.956,2025/09/23 20:21:47.214,293.8,98.0,21403.0,24564.0
8.057,2025/09/23 20:21:47.314,293.7,98.0,21403.0,24564.0
8.157,2025/09/23 20:21:47.415,293.7,98.0,21403.0,24564.0
8.258,2025/09/23 20:21:47.515,293.6,98.0,21403.0,24564.0
8.358,2025/09/23 20:21:47.616,293.4,98.0,21403.0,24564.0
8.459,2025/09/23 20:21:47.716,293.3,98.0,21403.0,24564.0
8.559,2025/09/23 20:21:47.817,293.1,98.0,21403.0,24564.0
8.660,2025/09/23 20:21:47.917,293.0,98.0,21403.0,24564.0
8.760,2025/09/23 20:21:48.018,292.9,98.0,21403.0,24564.0
8.861,2025/09/23 20:21:48.118,292.7,98.0,21405.0,24564.0
8.961,2025/09/23 20:21:48.219,293.8,98.0,21405.0,24564.0
9.062,2025/09/23 20:21:48.319,293.8,96.0,21405.0,24564.0
9.162,2025/09/23 20:21:48.420,293.8,96.0,21405.0,24564.0
9.263,2025/09/23 20:21:48.520,293.8,98.0,21405.0,24564.0
9.363,2025/09/23 20:21:48.621,293.9,98.0,21405.0,24564.0
9.464,2025/09/23 20:21:48.721,294.0,98.0,21405.0,24564.0
9.564,2025/09/23 20:21:48.822,294.3,98.0,21405.0,24564.0
9.665,2025/09/23 20:21:48.922,294.5,98.0,21405.0,24564.0
9.765,2025/09/23 20:21:49.023,294.6,98.0,21405.0,24564.0
9.866,2025/09/23 20:21:49.123,294.6,98.0,21405.0,24564.0
9.966,2025/09/23 20:21:49.224,294.6,98.0,21405.0,24564.0
10.067,2025/09/23 20:21:49.324,293.4,98.0,21405.0,24564.0
10.167,2025/09/23 20:21:49.425,293.3,98.0,21405.0,24564.0
10.268,2025/09/23 20:21:49.525,293.2,98.0,21405.0,24564.0
