t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.010,2025/09/23 19:18:37.182,67.8,0.0,21399.0,24564.0
0.111,2025/09/23 19:18:37.283,66.1,8.0,21403.0,24564.0
0.212,2025/09/23 19:18:37.383,86.5,8.0,21403.0,24564.0
0.313,2025/09/23 19:18:37.484,107.2,97.0,21403.0,24564.0
0.414,2025/09/23 19:18:37.585,128.0,97.0,21403.0,24564.0
0.514,2025/09/23 19:18:37.686,148.8,98.0,21403.0,24564.0
0.615,2025/09/23 19:18:37.786,169.5,98.0,21403.0,24564.0
0.715,2025/09/23 19:18:37.887,190.2,98.0,21403.0,24564.0
0.816,2025/09/23 19:18:37.988,210.9,98.0,21403.0,24564.0
0.916,2025/09/23 19:18:38.088,217.7,98.0,21403.0,24564.0
1.017,2025/09/23 19:18:38.189,223.4,98.0,21403.0,24564.0
1.117,2025/09/23 19:18:38.289,291.6,98.0,21403.0,24564.0
1.218,2025/09/23 19:18:38.390,291.5,98.0,21403.0,24564.0
1.319,2025/09/23 19:18:38.490,291.8,98.0,21403.0,24564.0
1.419,2025/09/23 19:18:38.591,291.9,98.0,21403.0,24564.0
1.520,2025/09/23 19:18:38.691,291.9,98.0,21403.0,24564.0
1.620,2025/09/23 19:18:38.792,291.8,98.0,21403.0,24564.0
1.721,2025/09/23 19:18:38.893,291.8,98.0,21403.0,24564.0
1.821,2025/09/23 19:18:38.993,291.7,98.0,21403.0,24564.0
1.922,2025/09/23 19:18:39.094,291.6,98.0,21403.0,24564.0
2.023,2025/09/23 19:18:39.194,291.6,98.0,21403.0,24564.0
2.123,2025/09/23 19:18:39.295,291.5,98.0,21403.0,24564.0
2.224,2025/09/23 19:18:39.395,291.4,98.0,21403.0,24564.0
2.324,2025/09/23 19:18:39.496,290.4,96.0,21403.0,24564.0
2.425,2025/09/23 19:18:39.596,290.6,96.0,21403.0,24564.0
2.525,2025/09/23 19:18:39.697,290.8,98.0,21403.0,24564.0
2.626,2025/09/23 19:18:39.798,290.9,98.0,21403.0,24564.0
2.727,2025/09/23 19:18:39.898,290.9,98.0,21403.0,24564.0
2.827,2025/09/23 19:18:39.999,291.1,98.0,21403.0,24564.0
2.928,2025/09/23 19:18:40.099,291.2,98.0,21403.0,24564.0
3.034,2025/09/23 19:18:40.200,291.4,98.0,21403.0,24564.0
3.134,2025/09/23 19:18:40.306,291.6,98.0,21403.0,24564.0
3.235,2025/09/23 19:18:40.406,291.6,98.0,21403.0,24564.0
3.335,2025/09/23 19:18:40.507,292.7,98.0,21403.0,24564.0
3.436,2025/09/23 19:18:40.608,292.6,98.0,21403.0,24564.0
3.536,2025/09/23 19:18:40.708,292.6,98.0,21403.0,24564.0
3.637,2025/09/23 19:18:40.809,292.4,98.0,21403.0,24564.0
3.737,2025/09/23 19:18:40.909,292.4,98.0,21403.0,24564.0
3.838,2025/09/23 19:18:41.009,292.2,98.0,21403.0,24564.0
3.938,2025/09/23 19:18:41.110,292.0,98.0,21403.0,24564.0
4.039,2025/09/23 19:18:41.210,291.8,98.0,21403.0,24564.0
4.139,2025/09/23 19:18:41.311,291.6,98.0,21403.0,24564.0
4.240,2025/09/23 19:18:41.412,291.5,98.0,21403.0,24564.0
4.340,2025/09/23 19:18:41.512,291.3,98.0,21403.0,24564.0
4.441,2025/09/23 19:18:41.613,290.5,96.0,21403.0,24564.0
4.541,2025/09/23 19:18:41.713,292.1,96.0,21403.0,24564.0
4.642,2025/09/23 19:18:41.814,291.9,98.0,21403.0,24564.0
4.743,2025/09/23 19:18:41.914,291.9,98.0,21403.0,24564.0
4.843,2025/09/23 19:18:42.015,292.0,98.0,21403.0,24564.0
4.943,2025/09/23 19:18:42.115,292.2,98.0,21403.0,24564.0
5.044,2025/09/23 19:18:42.216,292.4,98.0,21403.0,24564.0
5.144,2025/09/23 19:18:42.316,292.8,98.0,21403.0,24564.0
5.245,2025/09/23 19:18:42.417,293.0,98.0,21403.0,24564.0
5.345,2025/09/23 19:18:42.517,293.1,98.0,21403.0,24564.0
5.446,2025/09/23 19:18:42.618,293.2,98.0,21403.0,24564.0
5.547,2025/09/23 19:18:42.718,293.9,98.0,21403.0,24564.0
5.648,2025/09/23 19:18:42.819,292.3,98.0,21403.0,24564.0
5.749,2025/09/23 19:18:42.920,292.4,98.0,21403.0,24564.0
5.850,2025/09/23 19:18:43.021,292.4,98.0,21403.0,24564.0
5.951,2025/09/23 19:18:43.122,292.2,98.0,21403.0,24564.0
6.052,2025/09/23 19:18:43.223,292.1,98.0,21403.0,24564.0
6.152,2025/09/23 19:18:43.324,291.9,98.0,21403.0,24564.0
6.253,2025/09/23 19:18:43.425,291.7,98.0,21403.0,24564.0
6.354,2025/09/23 19:18:43.525,291.5,98.0,21403.0,24564.0
6.454,2025/09/23 19:18:43.626,291.4,98.0,21403.0,24564.0
6.555,2025/09/23 19:18:43.726,291.4,98.0,21403.0,24564.0
6.655,2025/09/23 19:18:43.827,290.8,96.0,21403.0,24564.0
6.756,2025/09/23 19:18:43.927,290.7,96.0,21403.0,24564.0
6.856,2025/09/23 19:18:44.028,290.8,98.0,21403.0,24564.0
6.957,2025/09/23 19:18:44.128,290.9,98.0,21403.0,24564.0
