t_local_s,timestamp,power_W,util_pct,mem_used_MiB,mem_total_MiB
0.494,2025/09/20 05:01:49.922,131.36,94.00,15359.00,24564.00
0.595,2025/09/20 05:01:50.023,149.44,94.00,15359.00,24564.00
0.696,2025/09/20 05:01:50.124,167.41,94.00,15359.00,24564.00
0.798,2025/09/20 05:01:50.225,175.07,94.00,15359.00,24564.00
0.898,2025/09/20 05:01:50.326,181.46,94.00,15359.00,24564.00
0.999,2025/09/20 05:01:50.427,183.65,94.00,15359.00,24564.00
1.100,2025/09/20 05:01:50.528,251.69,81.00,15359.00,24564.00
1.200,2025/09/20 05:01:50.628,252.40,81.00,15359.00,24564.00
1.301,2025/09/20 05:01:50.729,254.45,94.00,15359.00,24564.00
1.402,2025/09/20 05:01:50.829,256.31,94.00,15359.00,24564.00
1.502,2025/09/20 05:01:50.930,256.59,94.00,15359.00,24564.00
1.603,2025/09/20 05:01:51.031,256.28,94.00,15359.00,24564.00
1.704,2025/09/20 05:01:51.131,255.92,94.00,15359.00,24564.00
1.804,2025/09/20 05:01:51.232,255.86,94.00,15359.00,24564.00
1.905,2025/09/20 05:01:51.333,252.05,82.00,15359.00,24564.00
2.006,2025/09/20 05:01:51.433,252.40,82.00,15359.00,24564.00
2.106,2025/09/20 05:01:51.534,256.96,94.00,15359.00,24564.00
2.207,2025/09/20 05:01:51.635,257.18,94.00,15359.00,24564.00
2.308,2025/09/20 05:01:51.735,257.36,94.00,15359.00,24564.00
2.408,2025/09/20 05:01:51.836,257.20,94.00,15359.00,24564.00
2.508,2025/09/20 05:01:51.936,256.86,94.00,15359.00,24564.00
2.609,2025/09/20 05:01:52.036,256.56,94.00,15359.00,24564.00
2.710,2025/09/20 05:01:52.137,256.64,94.00,15359.00,24564.00
2.809,2025/09/20 05:01:52.238,252.51,94.00,15359.00,24564.00
2.911,2025/09/20 05:01:52.338,252.76,82.00,15359.00,24564.00
3.012,2025/09/20 05:01:52.439,256.90,82.00,15359.00,24564.00
3.111,2025/09/20 05:01:52.539,257.03,94.00,15359.00,24564.00
3.212,2025/09/20 05:01:52.640,257.01,94.00,15359.00,24564.00
3.313,2025/09/20 05:01:52.741,257.01,94.00,15359.00,24564.00
3.414,2025/09/20 05:01:52.842,256.67,94.00,15359.00,24564.00
3.515,2025/09/20 05:01:52.943,256.62,94.00,15359.00,24564.00
3.616,2025/09/20 05:01:53.044,256.67,94.00,15361.00,24564.00
3.718,2025/09/20 05:01:53.145,253.37,83.00,15361.00,24564.00
3.818,2025/09/20 05:01:53.246,253.61,83.00,15361.00,24564.00
3.919,2025/09/20 05:01:53.346,258.10,94.00,15361.00,24564.00
4.019,2025/09/20 05:01:53.447,258.07,94.00,15361.00,24564.00
4.120,2025/09/20 05:01:53.548,257.81,94.00,15361.00,24564.00
4.221,2025/09/20 05:01:53.648,257.41,94.00,15361.00,24564.00
4.321,2025/09/20 05:01:53.749,257.10,94.00,15361.00,24564.00
4.421,2025/09/20 05:01:53.849,256.85,94.00,15361.00,24564.00
4.522,2025/09/20 05:01:53.950,256.82,94.00,15361.00,24564.00
4.623,2025/09/20 05:01:54.050,253.02,94.00,15361.00,24564.00
4.723,2025/09/20 05:01:54.151,253.35,83.00,15361.00,24564.00
4.824,2025/09/20 05:01:54.252,257.03,83.00,15361.00,24564.00
4.925,2025/09/20 05:01:54.352,257.06,94.00,15361.00,24564.00
5.025,2025/09/20 05:01:54.453,257.08,94.00,15361.00,24564.00
5.125,2025/09/20 05:01:54.553,257.00,94.00,15361.00,24564.00
5.226,2025/09/20 05:01:54.654,256.86,94.00,15361.00,24564.00
5.327,2025/09/20 05:01:54.755,256.82,94.00,15361.00,24564.00
5.428,2025/09/20 05:01:54.855,256.77,94.00,15361.00,24564.00
5.528,2025/09/20 05:01:54.956,252.99,82.00,15361.00,24564.00
5.630,2025/09/20 05:01:55.056,257.31,82.00,15361.00,24564.00
5.730,2025/09/20 05:01:55.157,257.24,94.00,15361.00,24564.00
5.830,2025/09/20 05:01:55.258,256.93,94.00,15361.00,24564.00
5.931,2025/09/20 05:01:55.358,256.57,94.00,15361.00,24564.00
6.030,2025/09/20 05:01:55.459,256.33,94.00,15361.00,24564.00
6.131,2025/09/20 05:01:55.559,256.09,94.00,15361.00,24564.00
6.238,2025/09/20 05:01:55.660,256.16,94.00,15361.00,24564.00
6.338,2025/09/20 05:01:55.766,253.03,94.00,15361.00,24564.00
6.439,2025/09/20 05:01:55.867,253.43,84.00,15361.00,24564.00
6.539,2025/09/20 05:01:55.967,257.43,84.00,15361.00,24564.00
6.639,2025/09/20 05:01:56.068,257.40,94.00,15361.00,24564.00
6.740,2025/09/20 05:01:56.168,257.43,94.00,15361.00,24564.00
6.841,2025/09/20 05:01:56.268,257.25,94.00,15361.00,24564.00
6.941,2025/09/20 05:01:56.369,257.18,94.00,15361.00,24564.00
7.042,2025/09/20 05:01:56.469,257.31,94.00,15361.00,24564.00
7.142,2025/09/20 05:01:56.570,256.38,94.00,15361.00,24564.00
7.243,2025/09/20 05:01:56.670,252.48,79.00,15361.00,24564.00
7.342,2025/09/20 05:01:56.771,252.75,79.00,15361.00,24564.00
7.444,2025/09/20 05:01:56.871,256.21,94.00,15361.00,24564.00
7.544,2025/09/20 05:01:56.972,256.08,94.00,15361.00,24564.00
7.644,2025/09/20 05:01:57.072,255.78,94.00,15361.00,24564.00
7.744,2025/09/20 05:01:57.173,255.38,94.00,15361.00,24564.00
7.845,2025/09/20 05:01:57.273,255.08,94.00,15361.00,24564.00
7.946,2025/09/20 05:01:57.374,254.89,94.00,15361.00,24564.00
8.047,2025/09/20 05:01:57.474,254.42,91.00,15361.00,24564.00
8.147,2025/09/20 05:01:57.574,251.29,91.00,15361.00,24564.00
8.248,2025/09/20 05:01:57.675,252.43,86.00,15361.00,24564.00
8.347,2025/09/20 05:01:57.775,256.71,86.00,15361.00,24564.00
8.448,2025/09/20 05:01:57.876,256.72,94.00,15361.00,24564.00
8.549,2025/09/20 05:01:57.976,256.75,94.00,15361.00,24564.00
8.648,2025/09/20 05:01:58.077,256.69,94.00,15361.00,24564.00
8.750,2025/09/20 05:01:58.177,256.67,94.00,15361.00,24564.00
8.850,2025/09/20 05:01:58.278,256.68,94.00,15361.00,24564.00
8.950,2025/09/20 05:01:58.378,253.08,94.00,15361.00,24564.00
9.052,2025/09/20 05:01:58.479,253.01,82.00,15361.00,24564.00
9.152,2025/09/20 05:01:58.580,253.77,82.00,15361.00,24564.00
9.254,2025/09/20 05:01:58.681,257.11,94.00,15361.00,24564.00
9.355,2025/09/20 05:01:58.782,257.03,94.00,15361.00,24564.00
9.455,2025/09/20 05:01:58.883,256.87,94.00,15361.00,24564.00
9.556,2025/09/20 05:01:58.984,256.52,94.00,15361.00,24564.00
9.656,2025/09/20 05:01:59.084,256.14,94.00,15361.00,24564.00
9.756,2025/09/20 05:01:59.185,256.06,94.00,15361.00,24564.00
9.857,2025/09/20 05:01:59.285,251.82,82.00,15361.00,24564.00
9.959,2025/09/20 05:01:59.386,252.39,82.00,15361.00,24564.00
10.059,2025/09/20 05:01:59.487,256.28,94.00,15361.00,24564.00
10.159,2025/09/20 05:01:59.587,256.79,94.00,15361.00,24564.00
10.260,2025/09/20 05:01:59.688,256.86,94.00,15361.00,24564.00
10.360,2025/09/20 05:01:59.788,256.86,94.00,15361.00,24564.00
10.462,2025/09/20 05:01:59.889,256.67,94.00,15361.00,24564.00
10.562,2025/09/20 05:01:59.990,256.48,94.00,15361.00,24564.00
10.662,2025/09/20 05:02:00.090,256.55,94.00,15361.00,24564.00
10.763,2025/09/20 05:02:00.191,252.42,94.00,15361.00,24564.00
10.864,2025/09/20 05:02:00.291,252.64,82.00,15361.00,24564.00
10.965,2025/09/20 05:02:00.392,257.25,82.00,15361.00,24564.00
11.066,2025/09/20 05:02:00.493,257.09,94.00,15361.00,24564.00
11.166,2025/09/20 05:02:00.593,257.09,94.00,15361.00,24564.00
11.267,2025/09/20 05:02:00.694,257.06,94.00,15361.00,24564.00
11.367,2025/09/20 05:02:00.795,256.83,94.00,15361.00,24564.00
11.468,2025/09/20 05:02:00.895,256.47,94.00,15361.00,24564.00
11.568,2025/09/20 05:02:00.996,256.44,94.00,15361.00,24564.00
11.668,2025/09/20 05:02:01.096,252.85,83.00,15361.00,24564.00
11.769,2025/09/20 05:02:01.197,253.08,83.00,15361.00,24564.00
11.869,2025/09/20 05:02:01.297,257.57,94.00,15361.00,24564.00
11.971,2025/09/20 05:02:01.398,257.58,94.00,15361.00,24564.00
12.071,2025/09/20 05:02:01.499,257.55,94.00,15361.00,24564.00
12.173,2025/09/20 05:02:01.600,257.56,94.00,15361.00,24564.00
12.274,2025/09/20 05:02:01.701,257.32,94.00,15361.00,24564.00
12.374,2025/09/20 05:02:01.802,257.00,94.00,15361.00,24564.00
12.474,2025/09/20 05:02:01.902,256.86,94.00,15361.00,24564.00
12.575,2025/09/20 05:02:02.003,253.47,94.00,15361.00,24564.00
12.675,2025/09/20 05:02:02.103,253.80,83.00,15361.00,24564.00
12.776,2025/09/20 05:02:02.204,257.70,83.00,15361.00,24564.00
12.877,2025/09/20 05:02:02.304,257.70,94.00,15361.00,24564.00
12.977,2025/09/20 05:02:02.405,257.68,94.00,15361.00,24564.00
13.078,2025/09/20 05:02:02.505,257.26,94.00,15361.00,24564.00
13.178,2025/09/20 05:02:02.606,256.89,94.00,15361.00,24564.00
13.279,2025/09/20 05:02:02.706,256.50,95.00,15361.00,24564.00
13.379,2025/09/20 05:02:02.807,256.49,95.00,15361.00,24564.00
13.479,2025/09/20 05:02:02.907,252.24,81.00,15361.00,24564.00
13.580,2025/09/20 05:02:03.008,252.59,81.00,15361.00,24564.00
13.680,2025/09/20 05:02:03.108,256.31,94.00,15361.00,24564.00
13.781,2025/09/20 05:02:03.209,256.32,94.00,15361.00,24564.00
13.881,2025/09/20 05:02:03.309,256.05,94.00,15361.00,24564.00
13.982,2025/09/20 05:02:03.410,255.80,94.00,15361.00,24564.00
14.083,2025/09/20 05:02:03.510,255.55,94.00,15361.00,24564.00
14.182,2025/09/20 05:02:03.611,255.65,94.00,15361.00,24564.00
14.284,2025/09/20 05:02:03.711,255.66,94.00,15361.00,24564.00
14.384,2025/09/20 05:02:03.812,252.12,94.00,15361.00,24564.00
14.485,2025/09/20 05:02:03.912,252.41,83.00,15361.00,24564.00
14.585,2025/09/20 05:02:04.013,257.03,83.00,15361.00,24564.00
14.685,2025/09/20 05:02:04.113,257.08,94.00,15361.00,24564.00
14.785,2025/09/20 05:02:04.214,257.11,94.00,15361.00,24564.00
14.887,2025/09/20 05:02:04.314,256.76,94.00,15361.00,24564.00
14.987,2025/09/20 05:02:04.415,256.73,94.00,15361.00,24564.00
15.088,2025/09/20 05:02:04.515,256.70,94.00,15361.00,24564.00
15.188,2025/09/20 05:02:04.616,256.76,94.00,15361.00,24564.00
15.289,2025/09/20 05:02:04.716,253.10,83.00,15361.00,24564.00
15.389,2025/09/20 05:02:04.817,253.34,83.00,15361.00,24564.00
15.490,2025/09/20 05:02:04.917,257.19,94.00,15361.00,24564.00
15.591,2025/09/20 05:02:05.018,257.14,94.00,15361.00,24564.00
15.692,2025/09/20 05:02:05.119,257.05,94.00,15361.00,24564.00
15.792,2025/09/20 05:02:05.220,256.72,94.00,15361.00,24564.00
15.893,2025/09/20 05:02:05.321,256.45,95.00,15361.00,24564.00
15.994,2025/09/20 05:02:05.422,256.52,95.00,15361.00,24564.00
16.095,2025/09/20 05:02:05.523,254.79,88.00,15361.00,24564.00
16.196,2025/09/20 05:02:05.623,253.74,88.00,15361.00,24564.00
16.296,2025/09/20 05:02:05.724,254.10,91.00,15361.00,24564.00
16.400,2025/09/20 05:02:05.824,258.14,91.00,15361.00,24564.00
16.496,2025/09/20 05:02:05.925,258.25,94.00,15361.00,24564.00
16.597,2025/09/20 05:02:06.025,258.24,94.00,15361.00,24564.00
16.698,2025/09/20 05:02:06.126,257.99,94.00,15361.00,24564.00
16.800,2025/09/20 05:02:06.226,257.66,94.00,15361.00,24564.00
16.901,2025/09/20 05:02:06.327,257.64,95.00,15361.00,24564.00
16.999,2025/09/20 05:02:06.427,253.73,95.00,15361.00,24564.00
17.100,2025/09/20 05:02:06.528,254.27,83.00,15361.00,24564.00
17.201,2025/09/20 05:02:06.628,256.21,83.00,15361.00,24564.00
17.301,2025/09/20 05:02:06.729,257.59,94.00,15361.00,24564.00
17.402,2025/09/20 05:02:06.829,257.48,94.00,15361.00,24564.00
17.501,2025/09/20 05:02:06.930,257.45,94.00,15361.00,24564.00
17.602,2025/09/20 05:02:07.030,257.27,94.00,15361.00,24564.00
17.704,2025/09/20 05:02:07.131,257.02,94.00,15361.00,24564.00
17.803,2025/09/20 05:02:07.231,256.96,94.00,15361.00,24564.00
17.904,2025/09/20 05:02:07.332,252.99,83.00,15361.00,24564.00
18.004,2025/09/20 05:02:07.432,253.29,83.00,15361.00,24564.00
18.105,2025/09/20 05:02:07.533,257.51,94.00,15361.00,24564.00
18.205,2025/09/20 05:02:07.633,257.29,94.00,15361.00,24564.00
18.305,2025/09/20 05:02:07.734,257.46,94.00,15361.00,24564.00
18.406,2025/09/20 05:02:07.834,257.53,94.00,15361.00,24564.00
18.507,2025/09/20 05:02:07.935,257.50,94.00,15361.00,24564.00
18.607,2025/09/20 05:02:08.035,257.16,94.00,15361.00,24564.00
18.708,2025/09/20 05:02:08.136,257.06,94.00,15361.00,24564.00
18.809,2025/09/20 05:02:08.237,253.73,94.00,15361.00,24564.00
18.909,2025/09/20 05:02:08.337,254.04,83.00,15361.00,24564.00
19.011,2025/09/20 05:02:08.438,258.38,83.00,15361.00,24564.00
19.112,2025/09/20 05:02:08.539,258.12,94.00,15361.00,24564.00
19.212,2025/09/20 05:02:08.640,257.80,94.00,15361.00,24564.00
19.313,2025/09/20 05:02:08.741,257.39,94.00,15361.00,24564.00
19.414,2025/09/20 05:02:08.842,257.01,94.00,15361.00,24564.00
19.514,2025/09/20 05:02:08.942,256.61,94.00,15361.00,24564.00
19.615,2025/09/20 05:02:09.043,256.29,94.00,15361.00,24564.00
19.716,2025/09/20 05:02:09.143,253.30,84.00,15361.00,24564.00
19.816,2025/09/20 05:02:09.244,253.60,84.00,15361.00,24564.00
19.917,2025/09/20 05:02:09.344,257.26,94.00,15361.00,24564.00
20.017,2025/09/20 05:02:09.445,257.26,94.00,15361.00,24564.00
20.117,2025/09/20 05:02:09.545,256.94,94.00,15361.00,24564.00
20.218,2025/09/20 05:02:09.646,256.88,94.00,15361.00,24564.00
20.318,2025/09/20 05:02:09.746,256.84,95.00,15361.00,24564.00
20.419,2025/09/20 05:02:09.847,256.94,95.00,15361.00,24564.00
20.520,2025/09/20 05:02:09.947,256.96,94.00,15361.00,24564.00
20.620,2025/09/20 05:02:10.048,253.62,94.00,15361.00,24564.00
20.720,2025/09/20 05:02:10.148,253.95,83.00,15361.00,24564.00
20.821,2025/09/20 05:02:10.249,257.26,83.00,15361.00,24564.00
20.921,2025/09/20 05:02:10.349,257.29,94.00,15361.00,24564.00
21.022,2025/09/20 05:02:10.450,257.27,94.00,15361.00,24564.00
21.123,2025/09/20 05:02:10.550,256.98,94.00,15361.00,24564.00
21.223,2025/09/20 05:02:10.651,256.96,94.00,15361.00,24564.00
21.324,2025/09/20 05:02:10.751,257.01,95.00,15361.00,24564.00
