t_local_s,timestamp,power_W,util_pct,mem_used_MiB,mem_total_MiB
1.106,2025/09/20 02:37:35.835,13.45,0.00,3.00,24564.00
1.208,2025/09/20 02:37:35.936,13.56,0.00,3.00,24564.00
1.307,2025/09/20 02:37:36.037,13.56,0.00,3.00,24564.00
1.408,2025/09/20 02:37:36.138,13.56,0.00,3.00,24564.00
1.509,2025/09/20 02:37:36.238,13.56,0.00,3.00,24564.00
1.621,2025/09/20 02:37:36.339,13.56,0.00,3.00,24564.00
1.709,2025/09/20 02:37:36.439,13.56,0.00,3.00,24564.00
1.811,2025/09/20 02:37:36.540,13.56,0.00,3.00,24564.00
1.911,2025/09/20 02:37:36.640,13.56,0.00,3.00,24564.00
2.011,2025/09/20 02:37:36.741,13.56,0.00,3.00,24564.00
2.112,2025/09/20 02:37:36.842,13.56,0.00,3.00,24564.00
2.213,2025/09/20 02:37:36.942,13.53,0.00,3.00,24564.00
2.313,2025/09/20 02:37:37.043,13.53,0.00,3.00,24564.00
2.415,2025/09/20 02:37:37.143,13.53,0.00,3.00,24564.00
2.515,2025/09/20 02:37:37.244,13.53,0.00,3.00,24564.00
2.616,2025/09/20 02:37:37.344,13.53,0.00,3.00,24564.00
2.716,2025/09/20 02:37:37.445,13.53,0.00,3.00,24564.00
2.816,2025/09/20 02:37:37.545,13.53,0.00,3.00,24564.00
2.916,2025/09/20 02:37:37.646,13.53,0.00,3.00,24564.00
3.017,2025/09/20 02:37:37.747,13.53,0.00,3.00,24564.00
3.118,2025/09/20 02:37:37.847,13.53,0.00,3.00,24564.00
3.219,2025/09/20 02:37:37.948,13.61,0.00,3.00,24564.00
3.319,2025/09/20 02:37:38.048,13.61,0.00,3.00,24564.00
3.419,2025/09/20 02:37:38.149,13.61,0.00,3.00,24564.00
3.520,2025/09/20 02:37:38.249,13.61,0.00,3.00,24564.00
3.620,2025/09/20 02:37:38.350,13.61,0.00,3.00,24564.00
3.721,2025/09/20 02:37:38.451,13.61,0.00,3.00,24564.00
3.821,2025/09/20 02:37:38.551,13.61,0.00,3.00,24564.00
3.922,2025/09/20 02:37:38.652,13.61,0.00,3.00,24564.00
4.023,2025/09/20 02:37:38.752,13.61,0.00,3.00,24564.00
4.123,2025/09/20 02:37:38.853,13.45,0.00,3.00,24564.00
4.224,2025/09/20 02:37:38.954,13.45,0.00,3.00,24564.00
4.325,2025/09/20 02:37:39.054,13.45,0.00,3.00,24564.00
4.425,2025/09/20 02:37:39.155,13.45,0.00,3.00,24564.00
4.526,2025/09/20 02:37:39.255,13.45,0.00,3.00,24564.00
4.626,2025/09/20 02:37:39.356,13.45,0.00,3.00,24564.00
4.727,2025/09/20 02:37:39.456,13.45,0.00,3.00,24564.00
4.827,2025/09/20 02:37:39.557,13.45,0.00,3.00,24564.00
4.928,2025/09/20 02:37:39.657,13.45,0.00,3.00,24564.00
5.028,2025/09/20 02:37:39.758,13.45,0.00,3.00,24564.00
5.129,2025/09/20 02:37:39.858,13.05,0.00,3.00,24564.00
5.229,2025/09/20 02:37:39.959,13.05,0.00,3.00,24564.00
5.330,2025/09/20 02:37:40.059,13.05,0.00,3.00,24564.00
5.431,2025/09/20 02:37:40.160,13.05,0.00,3.00,24564.00
5.532,2025/09/20 02:37:40.261,13.05,0.00,3.00,24564.00
5.632,2025/09/20 02:37:40.361,13.05,0.00,3.00,24564.00
5.733,2025/09/20 02:37:40.462,13.05,0.00,3.00,24564.00
5.832,2025/09/20 02:37:40.562,13.05,0.00,3.00,24564.00
5.933,2025/09/20 02:37:40.663,13.05,0.00,3.00,24564.00
