t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.013,2025/09/23 18:57:14.561,61.6,0.0,21399.0,24564.0
0.113,2025/09/23 18:57:14.663,65.5,15.0,21403.0,24564.0
0.214,2025/09/23 18:57:14.763,78.3,15.0,21403.0,24564.0
0.315,2025/09/23 18:57:14.864,89.7,98.0,21403.0,24564.0
0.415,2025/09/23 18:57:14.965,100.8,98.0,21403.0,24564.0
0.516,2025/09/23 18:57:15.065,111.0,98.0,21403.0,24564.0
0.617,2025/09/23 18:57:15.166,120.1,98.0,21403.0,24564.0
0.717,2025/09/23 18:57:15.267,189.0,98.0,21403.0,24564.0
0.819,2025/09/23 18:57:15.367,197.7,98.0,21403.0,24564.0
0.920,2025/09/23 18:57:15.469,205.1,98.0,21403.0,24564.0
1.020,2025/09/23 18:57:15.570,211.5,98.0,21403.0,24564.0
1.121,2025/09/23 18:57:15.670,288.3,98.0,21403.0,24564.0
1.222,2025/09/23 18:57:15.771,289.3,98.0,21403.0,24564.0
1.322,2025/09/23 18:57:15.872,291.5,98.0,21403.0,24564.0
1.423,2025/09/23 18:57:15.972,293.6,98.0,21403.0,24564.0
1.524,2025/09/23 18:57:16.073,293.9,98.0,21403.0,24564.0
1.625,2025/09/23 18:57:16.174,293.9,98.0,21403.0,24564.0
1.726,2025/09/23 18:57:16.275,293.9,98.0,21403.0,24564.0
1.827,2025/09/23 18:57:16.376,293.8,98.0,21403.0,24564.0
1.928,2025/09/23 18:57:16.477,293.8,98.0,21403.0,24564.0
2.029,2025/09/23 18:57:16.578,293.8,98.0,21403.0,24564.0
2.129,2025/09/23 18:57:16.679,293.7,98.0,21403.0,24564.0
2.230,2025/09/23 18:57:16.779,293.7,98.0,21403.0,24564.0
2.331,2025/09/23 18:57:16.880,292.8,95.0,21403.0,24564.0
2.432,2025/09/23 18:57:16.981,292.9,95.0,21403.0,24564.0
2.532,2025/09/23 18:57:17.082,292.9,98.0,21403.0,24564.0
2.633,2025/09/23 18:57:17.182,293.1,98.0,21403.0,24564.0
2.733,2025/09/23 18:57:17.283,293.2,98.0,21403.0,24564.0
2.834,2025/09/23 18:57:17.383,293.4,98.0,21403.0,24564.0
2.934,2025/09/23 18:57:17.484,293.6,98.0,21403.0,24564.0
3.035,2025/09/23 18:57:17.584,294.0,98.0,21403.0,24564.0
3.135,2025/09/23 18:57:17.685,294.1,98.0,21403.0,24564.0
3.236,2025/09/23 18:57:17.785,294.3,98.0,21403.0,24564.0
3.337,2025/09/23 18:57:17.886,294.5,98.0,21403.0,24564.0
3.437,2025/09/23 18:57:17.987,295.3,98.0,21403.0,24564.0
3.538,2025/09/23 18:57:18.087,295.3,98.0,21403.0,24564.0
3.638,2025/09/23 18:57:18.188,295.4,98.0,21403.0,24564.0
3.739,2025/09/23 18:57:18.288,295.2,98.0,21403.0,24564.0
3.839,2025/09/23 18:57:18.389,295.0,98.0,21403.0,24564.0
3.940,2025/09/23 18:57:18.489,294.8,98.0,21403.0,24564.0
4.041,2025/09/23 18:57:18.590,294.1,98.0,21403.0,24564.0
4.141,2025/09/23 18:57:18.691,293.9,98.0,21403.0,24564.0
4.242,2025/09/23 18:57:18.791,293.6,98.0,21403.0,24564.0
4.342,2025/09/23 18:57:18.892,293.4,98.0,21403.0,24564.0
4.443,2025/09/23 18:57:18.992,294.0,98.0,21403.0,24564.0
4.544,2025/09/23 18:57:19.093,294.3,96.0,21403.0,24564.0
4.649,2025/09/23 18:57:19.194,294.2,98.0,21403.0,24564.0
4.750,2025/09/23 18:57:19.299,294.2,98.0,21403.0,24564.0
4.850,2025/09/23 18:57:19.400,294.4,98.0,21403.0,24564.0
4.951,2025/09/23 18:57:19.500,294.5,98.0,21403.0,24564.0
5.051,2025/09/23 18:57:19.601,294.8,98.0,21403.0,24564.0
5.152,2025/09/23 18:57:19.701,294.9,98.0,21403.0,24564.0
5.252,2025/09/23 18:57:19.802,295.1,98.0,21403.0,24564.0
5.353,2025/09/23 18:57:19.902,295.3,98.0,21403.0,24564.0
5.453,2025/09/23 18:57:20.003,295.5,98.0,21403.0,24564.0
5.554,2025/09/23 18:57:20.103,294.9,98.0,21403.0,24564.0
5.654,2025/09/23 18:57:20.204,294.5,98.0,21403.0,24564.0
5.755,2025/09/23 18:57:20.304,294.5,98.0,21403.0,24564.0
5.856,2025/09/23 18:57:20.405,294.5,98.0,21403.0,24564.0
