t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.011,2025/09/23 19:01:51.450,71.3,0.0,21399.0,24564.0
0.112,2025/09/23 19:01:51.551,74.3,27.0,21403.0,24564.0
0.213,2025/09/23 19:01:51.652,95.1,27.0,21403.0,24564.0
0.314,2025/09/23 19:01:51.753,115.9,98.0,21403.0,24564.0
0.414,2025/09/23 19:01:51.854,136.9,98.0,21403.0,24564.0
0.515,2025/09/23 19:01:51.954,158.1,98.0,21403.0,24564.0
0.615,2025/09/23 19:01:52.055,179.3,98.0,21403.0,24564.0
0.716,2025/09/23 19:01:52.155,200.4,98.0,21403.0,24564.0
0.816,2025/09/23 19:01:52.256,221.5,98.0,21403.0,24564.0
0.917,2025/09/23 19:01:52.356,227.7,98.0,21403.0,24564.0
1.017,2025/09/23 19:01:52.457,233.1,98.0,21403.0,24564.0
1.118,2025/09/23 19:01:52.557,295.3,98.0,21403.0,24564.0
1.219,2025/09/23 19:01:52.658,295.7,98.0,21403.0,24564.0
1.319,2025/09/23 19:01:52.759,296.4,98.0,21403.0,24564.0
1.420,2025/09/23 19:01:52.859,296.8,98.0,21403.0,24564.0
1.520,2025/09/23 19:01:52.960,296.9,98.0,21403.0,24564.0
1.621,2025/09/23 19:01:53.060,296.9,98.0,21403.0,24564.0
1.722,2025/09/23 19:01:53.161,296.9,98.0,21403.0,24564.0
1.822,2025/09/23 19:01:53.262,296.8,98.0,21403.0,24564.0
1.923,2025/09/23 19:01:53.362,297.0,98.0,21403.0,24564.0
2.023,2025/09/23 19:01:53.463,297.0,98.0,21403.0,24564.0
2.124,2025/09/23 19:01:53.563,296.9,98.0,21403.0,24564.0
2.224,2025/09/23 19:01:53.664,296.8,98.0,21403.0,24564.0
2.325,2025/09/23 19:01:53.764,295.9,96.0,21403.0,24564.0
2.426,2025/09/23 19:01:53.865,295.8,96.0,21403.0,24564.0
2.526,2025/09/23 19:01:53.966,295.8,98.0,21403.0,24564.0
2.627,2025/09/23 19:01:54.066,296.0,98.0,21403.0,24564.0
2.727,2025/09/23 19:01:54.167,296.1,98.0,21403.0,24564.0
2.828,2025/09/23 19:01:54.267,296.4,98.0,21403.0,24564.0
2.929,2025/09/23 19:01:54.368,296.6,98.0,21403.0,24564.0
3.030,2025/09/23 19:01:54.469,296.6,98.0,21403.0,24564.0
3.131,2025/09/23 19:01:54.570,296.8,98.0,21403.0,24564.0
3.232,2025/09/23 19:01:54.671,297.0,98.0,21403.0,24564.0
3.333,2025/09/23 19:01:54.772,297.2,98.0,21403.0,24564.0
3.434,2025/09/23 19:01:54.873,298.1,98.0,21403.0,24564.0
3.534,2025/09/23 19:01:54.974,298.2,98.0,21403.0,24564.0
3.635,2025/09/23 19:01:55.074,298.1,98.0,21403.0,24564.0
3.735,2025/09/23 19:01:55.175,297.9,98.0,21403.0,24564.0
3.836,2025/09/23 19:01:55.275,297.7,98.0,21403.0,24564.0
3.936,2025/09/23 19:01:55.376,297.5,98.0,21403.0,24564.0
4.037,2025/09/23 19:01:55.476,297.4,98.0,21403.0,24564.0
4.138,2025/09/23 19:01:55.577,297.3,98.0,21403.0,24564.0
4.238,2025/09/23 19:01:55.677,297.3,98.0,21403.0,24564.0
4.340,2025/09/23 19:01:55.778,297.2,98.0,21403.0,24564.0
4.440,2025/09/23 19:01:55.880,297.1,98.0,21403.0,24564.0
4.541,2025/09/23 19:01:55.980,298.0,96.0,21403.0,24564.0
4.641,2025/09/23 19:01:56.081,298.0,96.0,21403.0,24564.0
4.742,2025/09/23 19:01:56.181,298.2,98.0,21403.0,24564.0
4.842,2025/09/23 19:01:56.282,298.4,98.0,21403.0,24564.0
4.943,2025/09/23 19:01:56.382,298.6,98.0,21403.0,24564.0
5.043,2025/09/23 19:01:56.483,298.6,98.0,21403.0,24564.0
5.144,2025/09/23 19:01:56.583,298.7,98.0,21403.0,24564.0
5.245,2025/09/23 19:01:56.684,298.8,98.0,21403.0,24564.0
5.345,2025/09/23 19:01:56.784,298.8,98.0,21403.0,24564.0
5.446,2025/09/23 19:01:56.885,298.8,98.0,21403.0,24564.0
5.546,2025/09/23 19:01:56.985,298.8,98.0,21403.0,24564.0
5.647,2025/09/23 19:01:57.086,297.6,98.0,21403.0,24564.0
5.747,2025/09/23 19:01:57.186,297.5,98.0,21403.0,24564.0
5.848,2025/09/23 19:01:57.287,297.2,98.0,21403.0,24564.0
5.949,2025/09/23 19:01:57.388,296.9,98.0,21403.0,24564.0
6.050,2025/09/23 19:01:57.489,296.6,98.0,21403.0,24564.0
6.151,2025/09/23 19:01:57.590,296.4,98.0,21403.0,24564.0
