t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.011,2025/09/23 20:00:35.845,74.4,0.0,21399.0,24564.0
0.112,2025/09/23 20:00:35.945,79.5,0.0,21403.0,24564.0
0.212,2025/09/23 20:00:36.046,98.6,90.0,21403.0,24564.0
0.313,2025/09/23 20:00:36.146,119.1,90.0,21403.0,24564.0
0.413,2025/09/23 20:00:36.247,139.8,98.0,21403.0,24564.0
0.514,2025/09/23 20:00:36.348,160.8,98.0,21403.0,24564.0
0.615,2025/09/23 20:00:36.448,171.8,98.0,21403.0,24564.0
0.715,2025/09/23 20:00:36.549,181.1,98.0,21403.0,24564.0
0.816,2025/09/23 20:00:36.649,189.2,98.0,21403.0,24564.0
0.917,2025/09/23 20:00:36.750,196.1,98.0,21403.0,24564.0
1.018,2025/09/23 20:00:36.851,202.2,98.0,21403.0,24564.0
1.119,2025/09/23 20:00:36.952,290.1,98.0,21403.0,24564.0
1.220,2025/09/23 20:00:37.053,291.5,98.0,21403.0,24564.0
1.321,2025/09/23 20:00:37.154,293.2,98.0,21403.0,24564.0
1.422,2025/09/23 20:00:37.255,293.3,98.0,21403.0,24564.0
1.522,2025/09/23 20:00:37.356,293.2,98.0,21403.0,24564.0
1.623,2025/09/23 20:00:37.456,293.0,98.0,21403.0,24564.0
1.723,2025/09/23 20:00:37.557,292.9,98.0,21403.0,24564.0
1.824,2025/09/23 20:00:37.657,292.8,98.0,21403.0,24564.0
1.924,2025/09/23 20:00:37.758,292.6,98.0,21403.0,24564.0
2.025,2025/09/23 20:00:37.858,292.5,98.0,21403.0,24564.0
2.125,2025/09/23 20:00:37.959,292.4,98.0,21403.0,24564.0
2.225,2025/09/23 20:00:38.059,292.2,98.0,21403.0,24564.0
2.326,2025/09/23 20:00:38.160,291.4,98.0,21403.0,24564.0
2.427,2025/09/23 20:00:38.260,291.4,96.0,21403.0,24564.0
2.527,2025/09/23 20:00:38.361,291.6,96.0,21403.0,24564.0
2.628,2025/09/23 20:00:38.461,291.8,98.0,21403.0,24564.0
2.728,2025/09/23 20:00:38.562,291.9,98.0,21403.0,24564.0
2.829,2025/09/23 20:00:38.662,292.1,98.0,21403.0,24564.0
2.929,2025/09/23 20:00:38.763,292.3,98.0,21403.0,24564.0
3.029,2025/09/23 20:00:38.863,292.5,98.0,21403.0,24564.0
3.130,2025/09/23 20:00:38.964,292.7,98.0,21403.0,24564.0
3.230,2025/09/23 20:00:39.064,292.9,98.0,21403.0,24564.0
3.331,2025/09/23 20:00:39.165,293.1,98.0,21403.0,24564.0
3.432,2025/09/23 20:00:39.265,294.0,98.0,21403.0,24564.0
3.532,2025/09/23 20:00:39.366,294.0,98.0,21403.0,24564.0
3.633,2025/09/23 20:00:39.466,293.9,98.0,21403.0,24564.0
3.733,2025/09/23 20:00:39.567,293.8,98.0,21403.0,24564.0
3.834,2025/09/23 20:00:39.667,293.8,98.0,21403.0,24564.0
3.934,2025/09/23 20:00:39.768,293.7,98.0,21403.0,24564.0
4.034,2025/09/23 20:00:39.868,293.6,98.0,21403.0,24564.0
4.135,2025/09/23 20:00:39.969,293.4,98.0,21403.0,24564.0
4.235,2025/09/23 20:00:40.069,293.3,98.0,21403.0,24564.0
4.336,2025/09/23 20:00:40.169,293.2,98.0,21403.0,24564.0
4.437,2025/09/23 20:00:40.270,293.0,98.0,21403.0,24564.0
4.538,2025/09/23 20:00:40.371,293.9,98.0,21403.0,24564.0
4.639,2025/09/23 20:00:40.472,293.9,96.0,21403.0,24564.0
