t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.013,2025/09/23 18:47:48.263,62.2,0.0,21399.0,24564.0
0.113,2025/09/23 18:47:48.365,72.7,0.0,21403.0,24564.0
0.214,2025/09/23 18:47:48.465,101.8,50.0,21403.0,24564.0
0.314,2025/09/23 18:47:48.566,117.6,50.0,21403.0,24564.0
0.415,2025/09/23 18:47:48.666,131.2,98.0,21403.0,24564.0
0.516,2025/09/23 18:47:48.767,142.8,98.0,21403.0,24564.0
0.617,2025/09/23 18:47:48.868,153.0,98.0,21403.0,24564.0
0.726,2025/09/23 18:47:48.969,161.8,98.0,21403.0,24564.0
0.827,2025/09/23 18:47:49.078,169.7,98.0,21403.0,24564.0
0.927,2025/09/23 18:47:49.179,176.6,98.0,21403.0,24564.0
1.028,2025/09/23 18:47:49.279,291.1,98.0,21403.0,24564.0
1.129,2025/09/23 18:47:49.380,291.7,98.0,21403.0,24564.0
1.229,2025/09/23 18:47:49.481,293.9,98.0,21403.0,24564.0
1.330,2025/09/23 18:47:49.581,294.7,98.0,21403.0,24564.0
1.430,2025/09/23 18:47:49.682,295.3,98.0,21403.0,24564.0
1.531,2025/09/23 18:47:49.782,295.5,98.0,21403.0,24564.0
1.631,2025/09/23 18:47:49.883,295.7,98.0,21403.0,24564.0
1.732,2025/09/23 18:47:49.983,295.8,98.0,21403.0,24564.0
1.833,2025/09/23 18:47:50.084,296.0,98.0,21403.0,24564.0
1.933,2025/09/23 18:47:50.184,296.1,98.0,21403.0,24564.0
2.034,2025/09/23 18:47:50.285,296.3,98.0,21403.0,24564.0
2.134,2025/09/23 18:47:50.385,296.5,98.0,21403.0,24564.0
2.235,2025/09/23 18:47:50.486,296.2,98.0,21403.0,24564.0
2.335,2025/09/23 18:47:50.586,296.1,96.0,21403.0,24564.0
2.436,2025/09/23 18:47:50.687,296.2,96.0,21403.0,24564.0
2.537,2025/09/23 18:47:50.788,296.3,98.0,21403.0,24564.0
2.638,2025/09/23 18:47:50.889,296.0,98.0,21403.0,24564.0
2.739,2025/09/23 18:47:50.990,295.8,98.0,21403.0,24564.0
2.840,2025/09/23 18:47:51.090,295.7,98.0,21403.0,24564.0
